qid,question_text,option1,option2,option3,option4,correct_option,question_difficulty,subject_id,subject_name,
1,What is a data structure?,A programming language,A collection of algorithms,A way to store and organize data,A type of computer hardware,c,Easy,1,D.S.A,
2,What are the disadvantages of arrays?,Index value of an array can be negative,Elements are sequentially accessed,Data structure like queue or stack cannot be implemented,There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size,d,Easy,1,D.S.A,
3,Which data structure is used for implementing recursion?,Stack,Queue,List,Array,a,Easy,1,D.S.A,
4,The data structure required to check whether an expression contains a balanced parenthesis is?,Queue,Stack,Tree,Array,b,Easy,1,D.S.A,
5,Which of the following is not the application of stack?,Data Transfer between two asynchronous process,Compiler Syntax Analyzer,Tracking of local variables at run time,A parentheses balancing program,a,Easy,1,D.S.A,
6,Which data structure is needed to convert infix notation to postfix notation?,Tree,Branch,Stack,Queue,c,Easy,1,D.S.A,
7,Which of the following statement(s) about stack data structure is/are NOT correct?,Top of the Stack always contain the new node,Stack is the FIFO data structure,Null link is present in the last node at the bottom of the stack,Linked List are used for implementing Stacks,b,Easy,1,D.S.A,
8,Which data structure is based on the Last In First Out (LIFO) principle?,Tree,Linked List,Stack,Queue,c,Easy,1,D.S.A,
9,What is a bit array?,Data structure that compactly stores bits,Data structure for representing arrays of records,Array in which elements are not present in continuous locations,An array in which most of the elements have the same value,a,Easy,1,D.S.A,
10,Which of the following data structures can be used for parentheses matching?,n-ary tree,queue,priority queue,stack,d,Easy,1,D.S.A,
11,What is the need for a circular queue?,easier computations,implement LIFO principle in queues,effective usage of memory,to delete elements based on priority,c,Easy,1,D.S.A,
12,What is an AVL tree?,a tree which is unbalanced and is a height balanced tree,a tree which is balanced and is a height balanced tree,a tree with atmost 3 children,a tree with three children,b,Easy,1,D.S.A,
13,Which is the most appropriate data structure for reversing a word?,stack,queue,graph,tree,a,Easy ,1,D.S.A,
14,In linked list each node contains a minimum of two fields. One field is data field to store the data second field is?,Pointer to character,Pointer to integer,Pointer to node,Node,c,Easy,1,D.S.A,
